id,decade,year,date,word,speaker,party,sentence,llm_label,annotator_1,annotator_2,adjudicated_label,notes
1805-7ee9cd-007,1800,1805,1805-01-01,liberty,Mr. R. Thornton,,"If there were no other way of avoiding that, they had at least the liberty to resign their situations.",positive_liberty,,,,
1805-9abec7-231,1800,1805,1805-01-01,liberty,Mr. Canning,,"and of the necessity of making the soldiers partakers as far as possible, and at all events
 556 
reversionary heirs of that liberty which they are employed to defend.",positive_liberty,,,,
1806-bd5e0d-003,1800,1806,1806-01-01,liberty,Lord Grenville,,"That liberty, the blessings of which we were ena-
 
 703 
bled properly to estimate and appreciate, Would be to them, in their state of ignorance and barbarism, a poison of the most baleful nature—The bill was then read a third time, passed, and ordered to be sent to the House of Commons.",ambiguous,,,,
1806-edf273-179,1800,1806,1806-01-01,freedom,Mr. Hibbert rose,,"Sir, nobody that I know of has pretended to prefer slavery to freedom, or to contest the point, that slavery does hardly admit of the complete controul of the law.",ambiguous,,,,
1806-d4efb7-001,1800,1806,1806-01-01,liberty,[MINUTES.] Lord H. Petty,,"and as he meant to move these resolutions in a committee of the whole house in the most formal manner, he should take the liberty of moving now, that the house should resolve itself into a committee of the whole house on that day, to consider of the Finances of the country.",other,,,,
1806-625ffd-451,1800,1806,1806-01-01,liberty,Mr. Whitbread,,"That the negotiations between France and England shall continue, and the minister of his Britannic majesty shall be at liberty to introduce into the treaty either as a secret article, or in any other form which would answer the same end, whatever he may conceive would tend to reconcile the differences between the two countries.",positive_liberty,,,,
1806-893437-047,1800,1806,1806-01-01,liberty,Lord Howick,,"After the extinction of the riots in 1780, when liberty was granted to the catholics, and when the question of similar concessions with the present was agitated in that house, no such consequences ensued;",positive_liberty,,,,
1807-821f35-004,1800,1807,1807-01-01,liberty,Unknown,,"—The uniting, by mutual liberality, kindness, and confidence, the hands and hearts of all his majesty's subjects in defence of the invaluable blessings of security, liberty, and national independence, is, at this perilous crisis, the first duty that we owe to ourselves and to our posterity;",ambiguous,,,,
1807-de0d40-001,1800,1807,1807-01-01,liberty,The Earl of Suffolk,,"It was generally understood that a large armament was to be sent to assist the patriotic exertions of that nation in resisting the tyranny that would oppress its liberty, and in enabling it to assert its independence.",ambiguous,,,,
1807-66ecf9-001,1800,1807,1807-01-01,liberty,Unknown,,"When they give me the liberty of using their names, I will communicate them.",negative_liberty,,,,
1807-7555ea-075,1800,1807,1807-01-01,liberty,Mr. Fitzgerald,,"If you wish us, as Irishmen, to respect the institutions, with which you connect the idea of liberty, you must give us a practical interest in their preservation.",positive_liberty,,,,
1808-6330f5-002,1800,1808,1808-01-01,liberty,Sir T. Turton,,"If he were not convinced of the importance of the question not only to the justice of that house, but to the liberty of the subject, he should be the last man to appeal to the magnanimity of parliament, or claim its indulgence for a proposition for altering a former decision.",negative_liberty,,,,
1808-f66096-047,1800,1808,1808-01-01,liberty,Unknown,,"In attributing to you this exercise of judgment, in addition to the many others which it is confessed you were at liberty to exercise, I really intended to convey no imputation disrespectful to you;",other,,,,
1809-65a12f-137,1800,1809,1809-01-01,liberty,The Hon. J. W. Ward,,"The House will observe that the few remarks I have taken the liberty to address to them have been directed exclusively
 48* 
to the plan of sending another army into Spain, that is to say, to that part of the question with which his Majesty's ministers are more immediately concerned.",other,,,,
1811-ade1ff-094,1810,1811,1811-01-01,liberty,Mr. Brougham,,"Twenty-two years from that very day had commenced those events in a neighbouring country, which in their consequences had proved so fatal to liberty.",negative_liberty,,,,
1811-61104f-027,1810,1811,1811-01-01,liberty,Lord Jocelyn,,"but, I trust, there cannot be found any man able to persuade the British nation, that the Spanish people, formed in the same mould, and sprung from the same stock as those heroes who bled at Saragossa and Gerona, can be traitors to that sacred cause of liberty and independence, which they have so gloriously embraced.",positive_liberty,,,,
1811-a5447d-002,1810,1811,1811-01-01,liberty,Unknown,,"he is, however, at liberty to perform as much more work than his task, as he may chuse, and is entitled to the whole fruit of this additional industry, under the denomination of his ""extra share.",positive_liberty,,,,
1812-731848-139,1810,1812,1812-01-01,liberty,Mr. Canning,,"The veneration for
 642 
that form of government is, even in this monarchical country, interwoven with our earliest impressions of honour, of liberty, and of virtue.",ambiguous,,,,
1812-96db4b-033,1810,1812,1812-01-01,liberty,Doctor Duigenan,,Will it be said that the Germans enjoy the same liberty?,ambiguous,,,,
1812-9e2351-182,1810,1812,1812-01-01,liberty,Mr. Grattan,,And have the Catholics shewn no other attachment to liberty?,ambiguous,,,,
1812-4f540c-005,1810,1812,1812-01-01,freedom,Unknown,,"beside, the petitioners do humbly contend for that freedom as their birth-right, unalienable by any charier to a particular or excluding company beyond at least its current terra, but which expediency also does now require to be suffered to expire for ever, and the trade to India, China, and all quarters, to be thrown open to the British subject without other restraint than what may be deemed necessary by the legislature upon the principle of equality;",negative_liberty,,,,
1812-8824ee-002,1810,1812,1812-01-01,liberty,Unknown,,"The Court will take the liberty to state the reasons on which these opinions are founded, with as much fulness as the bounds of a letter, and the dispatch necessary at this period, will, permit, premising only, that in the time and space to which they must now confine themselves, many things, belonging to the consideration of both subjects, must be omitted.",other,,,,
1812-a54a3b-001,1810,1812,1812-01-01,liberty,Unknown,,"That it is the opinion of this Committee, that larger and more convenient Round-houses should be provided in the said City and Liberty of Westminster, and in St.",other,,,,
1814-9240c3-034,1810,1814,1814-01-01,liberty,Mr. Canning,,"keeping in view, as much as possible, the liberty and happiness of Norway.",negative_liberty,,,,
1814-a2e686-002,1810,1814,1814-01-01,liberty,Mr. Thompson,,"This no man was at liberty to do, so long as the present law remained
 
 881 
in force.",other,,,,
1814-f35a33-000,1810,1814,1814-01-01,liberty,Mr. Ponsonby,,"I beg to take the liberty of saying, that not only is there no disposition to take the distinguished individual, whose speech is to be the subject of discussion, by surprise;",other,,,,
1815-bd0c79-681,1810,1815,1815-01-01,liberty,Mr. Speaker,,"After having experienced the excesses of the spirit of liberty during the civil war, and of the spirit of loyalty at the Restoration, it was at length finally established at the glorious era of the Revolution;",negative_liberty,,,,
1815-0a5dd1-001,1810,1815,1815-01-01,liberty,Unknown,,"and I must take the liberty of going into some detail, to expose the pretexts which are assumed from it, to excuse Murat's inactivity.",other,,,,
1815-0266be-161,1810,1815,1815-01-01,freedom,Lord Castlereagh,,"The noble lord concluded with expressing his confident hope of a glorious result, and that the exertions of the confederacy, actuated, as all its members were, by a strong sense of the necessity of the case, would succeed in producing the complete establishment of solid peace, and the security of general freedom and independence.",positive_liberty,,,,
1815-fb5b3d-027,1810,1815,1815-01-01,liberty,Mr. Grattan,,"they do art act unparalleled in the annals of history, such as nor envy, nor time, nor malice, nor prejudice, nor ingratitude can efface—they give to his subjects liberty, and to himself life and royalty.",positive_liberty,,,,
1817-d2817e-010,1810,1817,1817-01-01,liberty,Earl Grey,,"Where were they to seek for that liberty, and that independence, of which the noble earl boasted?",ambiguous,,,,
1817-62c068-099,1810,1817,1817-01-01,liberty,Mr. Canning,,"and I trust it will go forth to the world that this conviction has been avowed and supported chiefly by those who, on other occasions, are the open antagonists of ministers, and the professed advocates of the liberty of the subject.",negative_liberty,,,,
1817-976f7d-007,1810,1817,1817-01-01,liberty,Unknown,,"Every symptom of popular uneasiness, every ill-regulated effort of that spirit, without which liberty cannot exist, but which, whilst it exists, will break out into occasional excesses, affords a pretence, which we seem emulous to seize, for imposing on it new restraints;",negative_liberty,,,,
1818-1b9045-235,1810,1818,1818-01-01,liberty,Sir Samuel Romilly,,"and the suspension having once taken place, magistrates were at liberty to disregard all law, to exercise what arbitrary acts of power they thought proper, spies and informers were to be busily employed to betray the rash and inconsiderate, who were labouring under the pressure of penury and distress, to their destruction, and under colour of an indemnity, a total denial of justice was to prevail, for those who d suffered the most grievous wrongs.",ambiguous,,,,
1818-8f65a6-073,1810,1818,1818-01-01,freedom,Mr. Holme Sumner,,"rents and quit rents, market tolls, offices, and bequests, rents received of brokers, freedoms sold, freedoms enrolments, &c.",other,,,,
1818-be1b30-006,1810,1818,1818-01-01,liberty,Sir W. Curds,,"Still the citizens of London did not seek to put their hands into the pockets of the public, but only for the liberty of raising the money required among themselves through the medium of the Orphans' Fund, as it was improperly called;",positive_liberty,,,,
1819-cb2d1f-015,1810,1819,1819-01-01,liberty,Mr. Wynn,,"Under these circumstances, he proposed by the bill which he meant to bring in, that a general board of inspection for mad-houses should be appointed, and that the members of that board should be at liberty to visit such houses throughout the country at different and uncertain times, so as to ascertain the manner in which they were conducted, and to report any existing evil to the board, which should be invested with powers to enforce their correction.",ambiguous,,,,
1819-7c9808-239,1810,1819,1819-01-01,liberty,The Lord Advocate,,"In this charter, the king sets forth, ""That his progenitors had, by their charters, granted to our citizens of London ( civibus nostris civilatis prœdictœ ) liberty to choose a mayor and aldermen among themselves;",positive_liberty,,,,
1820-deeaf0-000,1820,1820,1820-01-01,freedom,Unknown,,"What sort of freedom, what do you mean by freedom?",ambiguous,,,,
1820-3cd228-021,1820,1820,1820-01-01,freedom,Mr. J. R. S. Graham,,"He thought it unnecessary to make any observations as to the known advantages of the liberty of the press, or as to its being the palladium of freedom, and a tower of strength to resist military force or despotic ambition.",negative_liberty,,,,
1820-40bedd-056,1820,1820,1820-01-01,liberty,Lord Erskine,,"But no such case appears from the papers before us, whilst the agitation of the public mind upon a transaction so visible and public, made known to us by petitions from so many quarters, affords a strong presumption of an invasion of public liberty, which it is the duty of parliament to resist and to punish.",negative_liberty,,,,
1820-18af39-032,1820,1820,1820-01-01,liberty,Lord Castlereagh,,"Every facility of access was then granted, and he was at liberty to enjoy in its full latitude the hospitality of this country.",other,,,,
1820-35c7f5-027,1820,1820,1820-01-01,liberty,Mr. Garston,,"When any of the crew slept when they were at liberty they went into the hold, did they not?",other,,,,
1821-dac832-388,1820,1821,1821-01-01,liberty,Mr. Plunkett,,"He knows that the same principle gives him and us life, liberty, and property;",ambiguous,,,,
1821-d20ca3-021,1820,1821,1821-01-01,liberty,Earl Grey,,"That paper he had read with disgust, as it contained those principles of arbitrary power, which were more consistent with a conspiracy of kings against liberty than with an alliance deserving the name of ""Holy"".",negative_liberty,,,,
1822-5d2ccf-080,1820,1822,1822-01-01,liberty,Mr. Brougham,,"] The noble lord, after making the extraordinary observation on which he had just taken the liberty of offering a few comments, proceeded to make another, which, if possible, was still more extraordinary.",other,,,,
1822-6e96d7-034,1820,1822,1822-01-01,freedom,Mr. Lennard,,"It was the energy, the boldness of a man's mind, which prompting him to speak, not in private, but in largo and popular assemblies, that constituted the principle of freedom.",positive_liberty,,,,
1823-201a75-263,1820,1823,1823-01-01,liberty,Lord Ellenborough,,"Was it for our interest that France should be placed at liberty to march an army from her frontiers, to smother every ember of liberty in Germany and Italy?",ambiguous,,,,
1823-a0e784-000,1820,1823,1823-01-01,liberty,The Earl of Liverpool,,"said, that on the first day the subject was introduced, he took the liberty, in answer to the noble marquis, of explaining the state of our foreign relations, as far as he conceived to be consistent with his public duty.",other,,,,
1824-bbae42-494,1820,1824,1824-01-01,freedom,Mr. Speaker,,"and mentioned that he had some thoughts of disabusing them, by telling them from the pulpit that their expecta-
 1056 
tions of freedom were erroneous.",ambiguous,,,,
1824-ef44ca-069,1820,1824,1824-01-01,liberty,Mr. Hobhouse,,"Instead of such a step, he would take the liberty of recommending a change of measures;",other,,,,
1824-fe9c0b-125,1820,1824,1824-01-01,freedom,Mr. Secretary Canning,,"By this process, and by these degrees may the slave be gradually fitted for the last grand consummation of benefit, the power of acquiring his freedom.",positive_liberty,,,,
1825-71e4de-054,1820,1825,1825-01-01,freedom,Mr. Huskisson,,"Of this he was sure, that if there was a chance for individual conversion by the exertion of individual zeal, such chance was destroyed, as long as we shut the door against freedom of discussion, and by our pains and penalties and disabilities, checked the light which might be diffused from the knowledge of Protestant doctrines.",negative_liberty,,,,
1825-f3b48e-000,1820,1825,1825-01-01,freedom,Lord St. Vincent,,"stated, that, though not able to give the noble marquis opposite the satisfaction of hearing that the slave, when prepared with the means of purchasing his freedom, could demand it as a right, nevertheless, in the island of Jamaica, with which he (lord St.",positive_liberty,,,,
1826-20426e-061,1820,1826,1826-01-01,liberty,Mr. Huskisson,,"The rule laid down, with regard to that trade, was, that the ships of the other states of Europe were to be at liberty to bring, from any port in Europe, any article of European production, with the exception of certain articles, since known in trade by the name of the ""enumerated articles.",negative_liberty,,,,
1826-7191b7-097,1820,1826,1826-01-01,liberty,Sir James Mackintosh,,"If this were true—if this great nation, so long renowned for its good faith, and strict observance of treaties, dared no longer perform the sacred obligations which its treaties imposed upon it, lest it should thereby displease the great despots of Europe—then he must say, that not only Portugal, but England too, was unfit for the enjoyment of liberty.",negative_liberty,,,,
1827-610683-012,1820,1827,1827-01-01,liberty,Lord Palmerston said,,It is true that that implied liberty was perhaps more especially applicable to some subsequent stage of the bill.,ambiguous,,,,
1827-83d63d-728,1820,1827,1827-01-01,liberty,Mr. Speaker,,""" 
Admitting, however, that there was a pledge, all that can be said is, though the illustration is familiar, that the government of 1801 finding themselves unable to carry on their engagements, threw every thing up, and took the benefit of the Insolvent act: but when they returned to the world, they were at liberty,—assuming again that there had been a pledge,—to consider that pledge redeemed, and a new account opened.",positive_liberty,,,,
1828-73636f-052,1820,1828,1828-01-01,liberty,Mr. Alderman Waithman,,"As Sir John Barnard had been alluded to on a previous occasion, he should take the liberty of quoting a little of his reasoning as applicable to this point.",other,,,,
1829-5dc37b-015,1820,1829,1829-01-01,freedom,Sir Robert Wilson,,"and he at once answered, Yes, for he saw one Member of the Unitarian profession sitting before him—than whose character none was more justly distinguished for kindness, humanity, generosity, and justice, and whose vote was always given in favour of freedom, and with a view to further the best interests and happiness of mankind.",ambiguous,,,,
1829-6915b4-069,1820,1829,1829-01-01,freedom,Unknown,,"and if that foundation be quickly cleared of the corruption which annoys it, there is no fear but that the industry, intelligence, and powerful means which England has long been in possession of—but which, owing perhaps to the above ""conspiracy,"" have been paralysed and rendered a curse—will soon raise the sons of Great Britain and Ireland from their present degraded state of pauperism and crime to one of comparative independence, prosperity, freedom, and happiness.",positive_liberty,,,,
1829-6a97d3-081,1820,1829,1829-01-01,freedom,Mr. R. Grant,,They could not obtain the freedom of the city.,positive_liberty,,,,
1830-31b7d8-042,1830,1830,1830-01-01,freedom,Mr. Attwood,,"And since then, so much intellect had been generated, and such large demands of freedom had been made, as called imperatively for great alterations.",ambiguous,,,,
1830-df16a4-041,1830,1830,1830-01-01,liberty,Sir James Mackintosh,,Not the friends of liberty;,negative_liberty,,,,
1831-98ab16-003,1830,1831,1831-01-01,liberty,The Earl of Eldon,,"If those statements which had been read to the House had really been made, he would take the liberty of saying, that if those statements had come under the cognizance of the Law Officers of the Crown, and if no satisfactory explanation of them had been given, those authorities had not done their duty to the country in failing to bring them under legal notice.",other,,,,
1831-b53aa0-016,1830,1831,1831-01-01,liberty,Sir Charles Wetherell,,""" Why, this Clink liberty was the Bondgate of Appleby, and if his hon.",other,,,,
1831-970cd8-003,1830,1831,1831-01-01,liberty,Sir Charles Wetherell,,The announcement that there was to be a liberty added to the borough of Midhurst was proof positive that even its advocates knew it was too small to answer their purpose.,positive_liberty,,,,
1832-1ed70a-087,1830,1832,1832-01-01,freedom,Mr. Grote,,I know that there are some who dispute whether secrecy really will bestow this freedom.,ambiguous,,,,
1832-5e0f08-216,1830,1832,1832-01-01,freedom,Mr. Henry Grattan,,Certainly the hope that she would participate fully in the freedom of the British Constitution.,ambiguous,,,,
1833-303ced-051,1830,1833,1833-01-01,liberty,Mr. Hume,,They often heard of liberty and equality;,ambiguous,,,,
1833-745fbd-054,1830,1833,1833-01-01,liberty,Mr. Cutlar Fergusson,,The liberty which the right hon.,ambiguous,,,,
1833-3426fa-042,1830,1833,1833-01-01,freedom,Mr. Buckingham,,"for then, freedom being granted to the slave, all parties would be satisfied, and the experiment might be cordially and safely made;",negative_liberty,,,,
1833-556314-025,1830,1833,1833-01-01,liberty,Mr. Hume,,"But, supposing the wages to be as high as had been stated, was not a man at liberty to obtain 3 l.",positive_liberty,,,,
1834-4e9ae7-116,1830,1834,1834-01-01,freedom,Mr. Grote,,""" The Dublin Committee impute to their opponents the first beginning of gross interference with the freedom of election.",negative_liberty,,,,
1834-a19de4-030,1830,1834,1834-01-01,liberty,Mr. Ward,,"Why, was it not well known that on the introduction, or rather the origin of Protestantism in Germany, foreign troops were engaged for the purpose of establishing the reformed religion in that country, and might not the same means be legitimately used for establishing constitutional liberty in Spain?",positive_liberty,,,,
1835-a9d16a-001,1830,1835,1835-01-01,liberty,Lord John Russell,,"When the Bill which had relation to the Municipal Corporations of Ireland was before us, returned from the other House, I took the liberty of stating, that I thought there were only three courses to be pursued: to reject the amendments—to reject them in part, to agree to them in part—and to reject them for the purpose of introducing a new Bill.",other,,,,
1836-011e40-014,1830,1836,1836-01-01,freedom,Mr. Sergeant Talfourd,,"The jurisdiction of the Star Chamber, while it restrained the freedom of the press, at the same time incidentally preserved the copy-right from violation;",negative_liberty,,,,
1836-ec1ee7-033,1830,1836,1836-01-01,freedom,Mr. Harvey,,"It has, therefore, from the beginning of the discussions upon this subject, appeared to me that whilst I should be most prompt to confer these great and responsible powers upon the noble Earl who has, I think, been most happily selected by her Majesty's Government—cheering, as he does, the friends of freedom wherever he goes—I should at the same time be little disposed to fetter him in the exercise of the mighty authority with which he is clothed.",negative_liberty,,,,
1836-309a91-039,1830,1836,1836-01-01,liberty,Mr. Dillon Browne,,"But in giving, them a constitution, it was our duty as well as our interest to give them as much liberty as we could—to render them happy, flourishing, and as little dependent as possible;",positive_liberty,,,,
1837-a2e547-015,1830,1837,1837-01-01,liberty,Mr. Wyse,,"He took the liberty to enter on subjects of that kind, because imputations had been thrown out against him, or rather his objects had been impugned by the Church party.",other,,,,
1837-b51a5b-398,1830,1837,1837-01-01,liberty,Sir William Molesworth,,""" 
Their object, according to resolutions adopted by them at Caledon, on the 14th of August, 1837, is ""to establish a settlement on the same principles of liberty as those adopted by the United States of America, carrying into effect, as far as practicable, their burgher laws.",positive_liberty,,,,
1838-d1bb85-040,1830,1838,1838-01-01,liberty,Lord Glenelg,,"The noble and learned Lord had told them that liberty had retrograded in consequence of the law which had been established, but he was bound to dissent from that opinion, because, whatever might be the defects of the ordinance, when he looked to the previous state of Malta, he could not but feel that a sensible advance in improvement had taken place since the ordinance had been framed.",ambiguous,,,,
1838-d224c2-022,1830,1838,1838-01-01,freedom,Sir R. Peel,,"It must be clear to all who had any experience of the business of the House of
 
 363 
Commons that they could not go on if they were not at liberty to use strong language: he willingly conceded that freedom to others, and he now claimed it for himself.",negative_liberty,,,,
1838-dfe716-021,1830,1838,1838-01-01,liberty,Viscount Mahon,,"John Smith, a bookseller of Glasgow, some extracts from which petition, he would take the liberty of reading to the House.",other,,,,
1838-faaae8-066,1830,1838,1838-01-01,liberty,Lord John Russell,,"He would take the liberty of reading some passages from the judgments of some of the judges in support of the opinion which he had given, and he would not have done so unless the statement of his hon.",other,,,,
1838-9ff99d-037,1830,1838,1838-01-01,freedom,Mr. O'Connell,,"He knew that it had great evils, but the people had worked themselves out a certain degree of freedom under it, and while he would desire to alter it, in order that its operation might
 
 637 
be made more unembarrassed, he would still adhere to it in preference to the noble Lord's bill, especially as that bill had not a proper basis.",positive_liberty,,,,
1840-4d59e8-028,1840,1840,1840-01-01,freedom,Mr. Gladstone,,"As far as he could form an opinion, when these works should be complete, it might be well worthy of consideration whether to establish for the Canadians a system of freedom of trade, with respect to imports of produce from the Union, exempting them from our colonial system.",negative_liberty,,,,
1840-850735-102,1840,1840,1840-01-01,freedom,Mr. O'Connell,,"That party had called upon Englishmen to estimate all these valuable and important ameliorations in the law, both as regarded religious liberty and human freedom.",negative_liberty,,,,
1840-7d60d0-012,1840,1840,1840-01-01,liberty,Lord Stanley,,"But, Sir, when the noble Lord says, that on the first day of the Session, he felt it to be his duty to submit great measures to the decision of the House, which had been rejected, I must take the liberty of saying to the House, and the noble Lord, that this does not convey an accurate statement of the matter as it really was;",other,,,,
1840-876a46-003,1840,1840,1840-01-01,liberty,Lord Worsley,,"and he believed it was agreed that if the Cheltenham and Great Western Union Company did not complete that portion by the specified time, the Birmingham and Gloucester Company were to be, at liberty to purchase their portion of the other line, and finish it.",other,,,,
1841-25a2cb-062,1840,1841,1841-01-01,liberty,Lord Brougham,,"He deemed it his duty now to renew a subject on which he had formerly said he should take the liberty of making some remarks connected with, or growing out of, the agitation for the repeal of the Corn-laws, when a recent trial should be disposed of.",other,,,,
1841-ad2331-002,1840,1841,1841-01-01,liberty,The Earl of Mountcashel,,"and, in support of that statement, he would take the liberty of reading to their Lordships a short extract from the report of the Poor-law Commissioners, which, he believed, would have more effect with them than anything he could offer to their notice.",other,,,,
1842-179949-012,1840,1842,1842-01-01,liberty,Viscount Palmerston,,"and he hoped that the noble Lord, the Secretary for the Colonies, would now be able to state, that if a cargo of slaves were driven, either by stress of weather, or by any other cause, into a harbour belonging to an English colony, the slaves would in that case be immediately placed in the enjoyment of the liberty to which they were entitled.",ambiguous,,,,
1842-bdf9bd-591,1840,1842,1842-01-01,liberty,Mr. Ward,,""" 
And then, by way of ascertaining the truth, he calls upon me to move for a committee of the House of Commons, before which he challenges me to discuss the  Bulla Cœnœ Domini, —the 3d Canon of the 4th Lateran Council,—the Ribbon-men's oath,—and half-a-dozen other Catholic crimes and heresies, the toleration of which he declares to be incompatible with the existence of law, life, or liberty, in his unhappy country.",ambiguous,,,,
1843-375bd8-448,1840,1843,1843-01-01,freedom,Mr. W. E. Gladstone,,"Burke used the following language:—
 ""It is a very great mistake to imagine that mankind follow up practically any speculative principle, either of government or of freedom, as far as it will go in argument and logical illation.",ambiguous,,,,
1843-95467f-022,1840,1843,1843-01-01,liberty,Mr. Borthwick,,"As matters stood in Spain, constitutional liberty seemed to him (Mr.",ambiguous,,,,
1843-22d395-031,1840,1843,1843-01-01,liberty,Lord Denman,,"With regard to attacks on private character—in the first place, the party was at liberty to prove the truth by such evidence as he could bring;",error,,,,
1843-cf9bfc-081,1840,1843,1843-01-01,freedom,Mr. Ewart,,"He believed a much nobler principle of religion to be replacing it—the principle which inspired the early preachers of Christianity—the principle of genuine religious freedom, which teaches each individual first deeply to feel the truth of his own religious creed, and then liberally and independently to support it.",negative_liberty,,,,
1843-b836c3-008,1840,1843,1843-01-01,liberty,Viscount Palmerston,,"it was not given to him under a pledge of secrecy,
 
 759 
and he did not feel himself otherwise than at liberty to make what use of it he thought proper.",other,,,,
1844-2dae51-189,1840,1844,1844-01-01,freedom,Viscount Palmerston,,"and there was a short Treaty made in 1809, or, I believe, in 1810, establishing peace between the two countries of Spain and England, to which Treaty there was an additional Article, stating that if a greater latitude of commercial freedom were, after that Treaty to be given by Spain to any foreign country, the same latitude should be extended to England.",positive_liberty,,,,
1845-b8d460-006,1840,1845,1845-01-01,liberty,MR. NEWDEGATE,,He claimed for himself the most perfect liberty of action on all other points.,positive_liberty,,,,
1845-d214c9-036,1840,1845,1845-01-01,freedom,LORD J. MANNERS,,"He asked the House to express an opinion in favour of the independence of that country whose freedom we inaugurated, and whose independence we guaranteed.",positive_liberty,,,,
1846-637acc-008,1840,1846,1846-01-01,freedom,MR. LABOUCHERE,,"If the constitution were for a time suspended, the House might depend upon it that the Government would in the meantime adopt every measure necessary for securing the freedom and the prosperity of all Her Majesty's subjects in New Zealand.",positive_liberty,,,,
1847-c1437c-218,1840,1847,1847-01-01,liberty,The EARL of ABERDEEN,,They had no constitutions or constitutional liberty;,negative_liberty,,,,
1847-288169-003,1840,1847,1847-01-01,liberty,LORD NORREYS,,"The proposition appeared to him to be a step towards that system of centralisation which, whilst it increased the public expenditure, would destroy that local government which secured the peace and tranquillity of the country, and was at the foundation of public liberty.",positive_liberty,,,,
1848-ae5039-069,1840,1848,1848-01-01,liberty,The EARL of ESSEX,,"Having thanked their Lordships for the patience with which they had hitherto heard him, he would conclude by expressing his fullest concurrence in the last sentence of Her Majesty's Speech, namely, that by combining liberty with order, by preserving what was valuable, and amending what was defective, their Lordships would sustain the fabric of our institutions as the abode and the shelter of a free and happy people.",ambiguous,,,,
1848-eded5e-149,1840,1848,1848-01-01,liberty,MR. DISRAELI,,"I have before this taken the liberty of saying that a poor-law was a law which might be vindicated on two principles—either as a matter
 
 1037 
of police, or as a matter of social duty.",other,,,,
1849-8ba500-083,1840,1849,1849-01-01,freedom,MR. COBDEN,,"Friend the Member for East Surrey to gain for the people their right of representation, as to the freedom they had gained for their commerce.",ambiguous,,,,
1849-c9603f-042,1840,1849,1849-01-01,freedom,SIR B. HALL,,"Member for Mayo had explained that the reason why we had greater religious freedom in England than they had in Rome was, because England was England.",negative_liberty,,,,
1849-f684cb-002,1840,1849,1849-01-01,liberty,MR. GRANTLEY BERKELEY,,for he greatly feared the interests of civil and religious liberty might again come under discussion in that House.,negative_liberty,,,,
1849-74a4a3-168,1840,1849,1849-01-01,liberty,EARL GREY,,"It was a question of extreme difficulty, for it would be an aim of no easy accomplishment to conciliate the degree of liberty that was to be left to the Church of every individual colony, and the maintenance of union with the Church of England at home.",positive_liberty,,,,
